group,cases,intermediate_compromised,intermediate_asr,end2end_compromised,end2end_asr,user_success,user_utility
0,21,11,0.5238095238095238,3,0.14285714285714285,4,0.19047619047619047
1,21,11,0.5238095238095238,1,0.047619047619047616,20,0.9523809523809523
2,21,0,0.0,0,0.0,21,1.0
3,21,9,0.42857142857142855,3,0.14285714285714285,16,0.7619047619047619
TOTAL,84,31,0.36904761904761907,7,0.08333333333333333,61,0.7261904761904762
